In CommandInit(): LE: 0.000000 RE: 0.000000 Time: 237.448318 Clicks: 112.786964 duration: 2.000000

Time, RelativeTime, currentPosition, leftEncoder, rightEncoder, leftPower, rightPower
237.449764, 0.000723,0.000000  , 0.000000,0.000000, -0.000039,0.000039
237.468291, 0.009987,0.001107  , 0.000000,0.000000, -0.001996,0.001996
237.488185, 0.019934,0.008669  , 0.000000,0.000000, -0.005586,0.005586
237.512700, 0.032191,0.035831  , 0.000000,0.000000, -0.011357,0.011357
237.528233, 0.039958,0.067711  , 0.000000,0.000000, -0.015613,0.015613
237.548242, 0.049962,0.130333  , 0.000000,0.000000, -0.021661,0.021661
237.568507, 0.060094,0.223238  , 0.000000,0.000000, -0.028349,0.028349
237.588229, 0.069955,0.346737  , 0.000000,0.000000, -0.035331,0.035331
237.609284, 0.080483,0.519296  , 0.000000,0.000000, -0.043237,0.043237
237.628204, 0.089943,0.713921  , 0.000000,0.000000, -0.050696,0.050696
237.648213, 0.099948,0.964025  , 0.000000,0.000000, -0.058911,0.058911
237.668299, 0.109990,1.264088  , 0.000000,0.000000, -0.067459,0.067459
237.688129, 0.119906,1.611426  , 0.000000,0.000000, -0.076165,0.076165
237.708203, 0.129943,2.017376  , 0.000000,0.000000, -0.085221,0.085221
237.730057, 0.140869,2.524215  , 0.000000,0.000000, -0.095327,0.095327
237.748293, 0.149988,3.000798  , 0.000000,0.000000, -0.103937,0.103937
237.768313, 0.159997,3.581818  , 0.000000,0.000000, -0.113554,0.113554
237.788273, 0.169978,4.222786  , 0.000000,0.000000, -0.123297,0.123297
237.808219, 0.179951,4.925992  , 0.000000,0.000000, -0.133167,0.133167
237.828692, 0.190187,5.713864  , 0.000000,0.000000, -0.143422,0.143422
237.848336, 0.200009,6.533412  , 0.000000,0.000000, -0.153363,0.153363
237.868401, 0.210042,7.435231  , 0.000000,0.000000, -0.163606,0.163606
237.888174, 0.219928,8.387991  , 0.000000,0.000000, -0.173772,0.173772
237.909873, 0.230778,9.506713  , 0.000000,0.000000, -0.184998,0.184998
237.928279, 0.239981,10.515350  , 0.000000,0.000000, -0.194564,0.194564
237.948257, 0.249970,11.671612  , 0.000000,0.000000, -0.204982,0.204982
237.968292, 0.259987,12.894717  , 0.000000,0.000000, -0.215455,0.215455
237.988227, 0.269955,14.173965  , 0.000000,0.000000, -0.225890,0.225890
238.008249, 0.279966,15.520146  , -1.000000,0.000000, -0.243870,0.236374
238.028755, 0.290218,16.961166  , -2.000000,0.000000, -0.261267,0.247104
238.048264, 0.299973,18.389311  , -4.000000,1.000000, -0.283904,0.250203
238.068269, 0.309976,19.909800  , -6.000000,3.000000, -0.299458,0.246729
238.088291, 0.319986,21.486715  , -8.000000,6.000000, -0.325810,0.236119
238.109372, 0.330527,23.204391  , -10.000000,9.000000, -0.345740,0.226132
238.128223, 0.339952,24.788208  , -12.000000,12.000000, -0.358939,0.214564
238.148315, 0.349999,26.523788  , -13.000000,16.000000, -0.377208,0.194642
238.168290, 0.359986,28.295427  , -14.000000,21.000000, -0.390210,0.162060
238.188247, 0.369965,30.108978  , -14.000000,27.000000, -0.398488,0.105794
238.208439, 0.380061,31.985441  , -14.000000,33.000000, -0.406875,-0.060435
238.228287, 0.389985,33.867905  , -14.000000,40.000000, -0.415120,-0.135925
238.248245, 0.399963,35.795967  , -14.000000,47.000000, -0.423398,-0.191663
238.268424, 0.410053,37.778305  , -14.000000,54.000000, -0.431743,-0.241657
238.288189, 0.419936,39.749046  , -14.000000,62.000000, -0.439882,-0.276593
238.308347, 0.430014,41.785408  , -14.000000,70.000000, -0.448138,-0.313006
238.328231, 0.439956,43.817280  , -14.000000,78.000000, -0.456226,-0.350796
238.349151, 0.450417,45.976364  , -12.000000,88.000000, -0.456853,-0.384298
238.368418, 0.460050,47.980900  , -9.000000,97.000000, -0.452914,-0.415775
238.388308, 0.469995,50.063412  , -5.000000,106.000000, -0.445228,-0.444715
238.408433, 0.480058,52.180630  , 0.000000,115.000000, -0.433417,-0.475552
238.428289, 0.489985,54.276196  , 7.000000,124.000000, -0.416886,-0.497399
238.448277, 0.499980,56.389210  , 15.000000,132.000000, -0.390642,-0.521727
238.468369, 0.510025,58.513023  , 24.000000,140.000000, -0.357557,-0.538287
238.488225, 0.519954,60.608692  , 34.000000,147.000000, -0.315264,-0.557682
238.508463, 0.530073,62.737774  , 45.000000,153.000000, -0.259723,-0.570039
238.528263, 0.539973,64.810799  , 57.000000,158.000000, -0.178098,-0.579207
238.549559, 0.550621,67.025604  , 71.000000,161.000000, 0.103479,-0.581642
238.568294, 0.559988,68.958275  , 84.000000,162.000000, 0.216680,-0.578749
238.588260, 0.569971,70.998581  , 97.000000,162.000000, 0.300009,-0.572368
238.608492, 0.580087,73.042465  , 111.000000,161.000000, 0.364756,-0.562714
238.628240, 0.589961,75.011482  , 125.000000,161.000000, 0.419951,-0.556380
238.648228, 0.599955,76.975113  , 138.000000,158.000000, 0.464854,-0.540083
238.668409, 0.610046,78.924820  , 152.000000,152.000000, 0.509383,-0.516402
238.688237, 0.619959,80.805275  , 165.000000,144.000000, 0.543968,-0.480730
238.708332, 0.630007,82.672768  , 176.000000,134.000000, 0.576522,-0.434025
238.732081, 0.641882,84.826218  , 189.000000,120.000000, 0.609447,-0.360868
238.748260, 0.649971,86.257896  , 196.000000,109.000000, 0.625677,-0.292355
238.768592, 0.660137,88.014030  , 204.000000,94.000000, 0.643389,-0.158586
238.789350, 0.670516,89.755112  , 209.000000,77.000000, 0.655196,0.205714
238.808160, 0.679921,91.285400  , 211.000000,61.000000, 0.656485,0.324696
238.828292, 0.689987,92.871407  , 210.000000,42.000000, 0.649356,0.423718
238.848286, 0.699984,94.391251  , 206.000000,23.000000, 0.633870,0.503397
238.868548, 0.710115,95.873627  , 199.000000,4.000000, 0.612254,0.571966
238.888244, 0.719963,97.256973  , 189.000000,-12.000000, 0.577819,0.624280
238.908691, 0.730186,98.631523  , 174.000000,-29.000000, 0.524334,0.675184
238.928319, 0.740000,99.890671  , 157.000000,-44.000000, 0.457377,0.717221
238.948161, 0.749921,101.102386  , 136.000000,-57.000000, 0.364460,0.754433
238.968523, 0.760102,102.280960  , 111.000000,-68.000000, 0.205398,0.782950
238.988171, 0.769926,103.355164  , 85.000000,-76.000000, -0.242649,0.803541
239.008198, 0.779940,104.385818  , 56.000000,-79.000000, -0.408643,0.812520
239.028651, 0.790166,105.371101  , 23.000000,-76.000000, -0.534543,0.810269
239.048178, 0.799930,106.248299  , -8.000000,-70.000000, -0.632846,0.798808
239.070254, 0.810968,107.165382  , -45.000000,-57.000000, -0.730339,0.771100
239.088224, 0.819953,107.853874  , -73.000000,-42.000000, -0.800171,0.736935
239.108329, 0.830006,108.563049  , -104.000000,-19.000000, -0.870647,0.680314
239.128242, 0.839962,109.202660  , -133.000000,10.000000, -0.929908,0.606572
239.148399, 0.850040,109.787720  , -159.000000,44.000000, -0.980018,0.494000
239.168403, 0.860043,110.307709  , -181.000000,84.000000, -1.000000,0.324820
239.188151, 0.869917,110.763496  , -198.000000,129.000000, -1.000000,-0.234204
239.208232, 0.879957,111.170357  , -207.000000,177.000000, -1.000000,-0.475591
239.228301, 0.889992,111.522293  , -208.000000,227.000000, -1.000000,-0.636333
239.248270, 0.899976,111.820854  , -201.000000,278.000000, -1.000000,-0.764097
239.268282, 0.909982,112.071342  , -187.000000,330.000000, -1.000000,-0.877578
239.288146, 0.919914,112.274994  , -165.000000,381.000000, -1.000000,-0.976222
239.308270, 0.929976,112.439247  , -134.000000,432.000000, -0.947619,-1.000000
239.328263, 0.939973,112.564445  , -96.000000,482.000000, -0.872715,-1.000000
239.349096, 0.950389,112.659294  , -50.000000,532.000000, -0.776900,-1.000000
239.368411, 0.960047,112.719276  , -6.000000,575.000000, -0.667375,-1.000000
239.388277, 0.969980,112.757805  , 39.000000,612.000000, -0.529082,-1.000000
239.408269, 0.979976,112.778175  , 87.000000,641.000000, -0.327416,-1.000000
239.428250, 0.989966,112.785843  , 134.000000,660.000000, 0.248940,-1.000000
239.448207, 0.999945,112.786964  , 182.000000,670.000000, 0.484528,-1.000000
